period,subba,impute,y,subba-name,parent,parent-name,value,value-units
2022-01-01 00:00:00,ZONA,,1707.0,,,,,
2022-01-01 01:00:00,ZONA,,1673.0,,,,,
2022-01-01 02:00:00,ZONA,,1644.0,,,,,
2022-01-01 03:00:00,ZONA,,1605.0,,,,,
2022-01-01 04:00:00,ZONA,,1550.0,,,,,
2022-01-01 05:00:00,ZONA,,1487.0,,,,,
2022-01-01 06:00:00,ZONA,,1422.0,,,,,
2022-01-01 07:00:00,ZONA,,1373.0,,,,,
2022-01-01 08:00:00,ZONA,,1336.0,,,,,
2022-01-01 09:00:00,ZONA,,1317.0,,,,,
2022-01-01 10:00:00,ZONA,,1307.0,,,,,
2022-01-01 11:00:00,ZONA,,1315.0,,,,,
2022-01-01 12:00:00,ZONA,,1343.0,,,,,
2022-01-01 13:00:00,ZONA,,1373.0,,,,,
2022-01-01 14:00:00,ZONA,,1395.0,,,,,
2022-01-01 15:00:00,ZONA,,1436.0,,,,,
2022-01-01 16:00:00,ZONA,,1488.0,,,,,
2022-01-01 17:00:00,ZONA,,1526.0,,,,,
2022-01-01 18:00:00,ZONA,,1553.0,,,,,
2022-01-01 19:00:00,ZONA,,1565.0,,,,,
2022-01-01 20:00:00,ZONA,,1574.0,,,,,
2022-01-01 21:00:00,ZONA,,1592.0,,,,,
2022-01-01 22:00:00,ZONA,,1644.0,,,,,
2022-01-01 23:00:00,ZONA,,1713.0,,,,,
2022-01-02 00:00:00,ZONA,,1703.0,,,,,
2022-01-02 01:00:00,ZONA,,1681.0,,,,,
2022-01-02 02:00:00,ZONA,,1658.0,,,,,
2022-01-02 03:00:00,ZONA,,1624.0,,,,,
2022-01-02 04:00:00,ZONA,,1571.0,,,,,
2022-01-02 05:00:00,ZONA,,1497.0,,,,,
2022-01-02 06:00:00,ZONA,,1446.0,,,,,
2022-01-02 07:00:00,ZONA,,1418.0,,,,,
2022-01-02 08:00:00,ZONA,,1406.0,,,,,
2022-01-02 09:00:00,ZONA,,1395.0,,,,,
2022-01-02 10:00:00,ZONA,,1396.0,,,,,
2022-01-02 11:00:00,ZONA,,1422.0,,,,,
2022-01-02 12:00:00,ZONA,,1469.0,,,,,
2022-01-02 13:00:00,ZONA,,1519.0,,,,,
2022-01-02 14:00:00,ZONA,,1559.0,,,,,
2022-01-02 15:00:00,ZONA,,1615.0,,,,,
2022-01-02 16:00:00,ZONA,,1674.0,,,,,
2022-01-02 17:00:00,ZONA,,1708.0,,,,,
2022-01-02 18:00:00,ZONA,,1733.0,,,,,
2022-01-02 19:00:00,ZONA,,1737.0,,,,,
2022-01-02 20:00:00,ZONA,,1739.0,,,,,
2022-01-02 21:00:00,ZONA,,1742.0,,,,,
2022-01-02 22:00:00,ZONA,,1788.0,,,,,
2022-01-02 23:00:00,ZONA,,1889.0,,,,,
2022-01-03 00:00:00,ZONA,,1894.0,,,,,
2022-01-03 01:00:00,ZONA,,1868.0,,,,,
2022-01-03 02:00:00,ZONA,,1836.0,,,,,
2022-01-03 03:00:00,ZONA,,1786.0,,,,,
2022-01-03 04:00:00,ZONA,,1715.0,,,,,
2022-01-03 05:00:00,ZONA,,1637.0,,,,,
2022-01-03 06:00:00,ZONA,,1583.0,,,,,
2022-01-03 07:00:00,ZONA,,1559.0,,,,,
2022-01-03 08:00:00,ZONA,,1552.0,,,,,
2022-01-03 09:00:00,ZONA,,1559.0,,,,,
2022-01-03 10:00:00,ZONA,,1588.0,,,,,
2022-01-03 11:00:00,ZONA,,1663.0,,,,,
2022-01-03 12:00:00,ZONA,,1771.0,,,,,
2022-01-03 13:00:00,ZONA,,1862.0,,,,,
2022-01-03 14:00:00,ZONA,,1885.0,,,,,
2022-01-03 15:00:00,ZONA,,1889.0,,,,,
2022-01-03 16:00:00,ZONA,,1897.0,,,,,
2022-01-03 17:00:00,ZONA,,1874.0,,,,,
2022-01-03 18:00:00,ZONA,,1866.0,,,,,
2022-01-03 19:00:00,ZONA,,1856.0,,,,,
2022-01-03 20:00:00,ZONA,,1848.0,,,,,
2022-01-03 21:00:00,ZONA,,1846.0,,,,,
2022-01-03 22:00:00,ZONA,,1895.0,,,,,
2022-01-03 23:00:00,ZONA,,2003.0,,,,,
2022-01-04 00:00:00,ZONA,,2005.0,,,,,
2022-01-04 01:00:00,ZONA,,1989.0,,,,,
2022-01-04 02:00:00,ZONA,,1991.0,,,,,
2022-01-04 03:00:00,ZONA,,1922.0,,,,,
2022-01-04 04:00:00,ZONA,,1842.0,,,,,
2022-01-04 05:00:00,ZONA,,1757.0,,,,,
2022-01-04 06:00:00,ZONA,,1702.0,,,,,
2022-01-04 07:00:00,ZONA,,1661.0,,,,,
2022-01-04 08:00:00,ZONA,,1633.0,,,,,
2022-01-04 09:00:00,ZONA,,1629.0,,,,,
2022-01-04 10:00:00,ZONA,,1647.0,,,,,
2022-01-04 11:00:00,ZONA,,1716.0,,,,,
2022-01-04 12:00:00,ZONA,,1811.0,,,,,
2022-01-04 13:00:00,ZONA,,1897.0,,,,,
2022-01-04 14:00:00,ZONA,,1920.0,,,,,
2022-01-04 15:00:00,ZONA,,1922.0,,,,,
2022-01-04 16:00:00,ZONA,,1926.0,,,,,
2022-01-04 17:00:00,ZONA,,1912.0,,,,,
2022-01-04 18:00:00,ZONA,,1886.0,,,,,
2022-01-04 19:00:00,ZONA,,1871.0,,,,,
2022-01-04 20:00:00,ZONA,,1836.0,,,,,
2022-01-04 21:00:00,ZONA,,1845.0,,,,,
2022-01-04 22:00:00,ZONA,,1877.0,,,,,
2022-01-04 23:00:00,ZONA,,1981.0,,,,,
2022-01-05 00:00:00,ZONA,,1971.0,,,,,
2022-01-05 01:00:00,ZONA,,1938.0,,,,,
2022-01-05 02:00:00,ZONA,,1883.0,,,,,
2022-01-05 03:00:00,ZONA,,1832.0,,,,,
2022-01-05 04:00:00,ZONA,,1739.0,,,,,
2022-01-05 05:00:00,ZONA,,1650.0,,,,,
2022-01-05 06:00:00,ZONA,,1599.0,,,,,
2022-01-05 07:00:00,ZONA,,1556.0,,,,,
2022-01-05 08:00:00,ZONA,,1540.0,,,,,
2022-01-05 09:00:00,ZONA,,1527.0,,,,,
2022-01-05 10:00:00,ZONA,,1547.0,,,,,
2022-01-05 11:00:00,ZONA,,1613.0,,,,,
2022-01-05 12:00:00,ZONA,,1732.0,,,,,
2022-01-05 13:00:00,ZONA,,1837.0,,,,,
2022-01-05 14:00:00,ZONA,,1844.0,,,,,
2022-01-05 15:00:00,ZONA,,1862.0,,,,,
2022-01-05 16:00:00,ZONA,,1878.0,,,,,
2022-01-05 17:00:00,ZONA,,1865.0,,,,,
2022-01-05 18:00:00,ZONA,,1849.0,,,,,
2022-01-05 19:00:00,ZONA,,1862.0,,,,,
2022-01-05 20:00:00,ZONA,,1854.0,,,,,
2022-01-05 21:00:00,ZONA,,1865.0,,,,,
2022-01-05 22:00:00,ZONA,,1898.0,,,,,
2022-01-05 23:00:00,ZONA,,1992.0,,,,,
2022-01-06 00:00:00,ZONA,,1991.0,,,,,
2022-01-06 01:00:00,ZONA,,1946.0,,,,,
2022-01-06 02:00:00,ZONA,,1904.0,,,,,
2022-01-06 03:00:00,ZONA,,1849.0,,,,,
2022-01-06 04:00:00,ZONA,,1770.0,,,,,
2022-01-06 05:00:00,ZONA,,1710.0,,,,,
2022-01-06 06:00:00,ZONA,,1664.0,,,,,
2022-01-06 07:00:00,ZONA,,1629.0,,,,,
2022-01-06 08:00:00,ZONA,,1612.0,,,,,
2022-01-06 09:00:00,ZONA,,1617.0,,,,,
2022-01-06 10:00:00,ZONA,,1644.0,,,,,
2022-01-06 11:00:00,ZONA,,1715.0,,,,,
2022-01-06 12:00:00,ZONA,,1814.0,,,,,
2022-01-06 13:00:00,ZONA,,1859.0,,,,,
2022-01-06 14:00:00,ZONA,,1883.0,,,,,
2022-01-06 15:00:00,ZONA,,1902.0,,,,,
2022-01-06 16:00:00,ZONA,,1911.0,,,,,
2022-01-06 17:00:00,ZONA,,1946.0,,,,,
2022-01-06 18:00:00,ZONA,,1924.0,,,,,
