unique_id,model,label,forecast_label,start,end,n_obs,h,refresh_time,success,mape,rmse,coverage,score
ZONA,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:44,True,,,,False
ZONB,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:45,True,,,,False
ZONC,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:47,True,,,,False
ZOND,LGBMRegressor,model5,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:47,True,,,,False
ZONE,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:49,True,,,,False
ZONF,Ridge,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:49,True,,,,False
ZONG,LinearRegression,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:50,True,,,,False
ZONH,LGBMRegressor,model5,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:51,True,,,,False
ZONI,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:52,True,,,,False
ZONJ,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:53,True,,,,False
ZONK,LGBMRegressor,model6,2024-11-01,2024-11-02,2024-11-02 23:00:00,24,24,16/11/2024 18:23:54,True,,,,False
ZONA,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:23:55,True,,,,False
ZONB,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:23:56,True,,,,False
ZONC,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:23:57,True,,,,False
ZOND,LGBMRegressor,model5,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:23:58,True,,,,False
ZONE,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:23:59,True,,,,False
ZONF,Ridge,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:00,True,,,,False
ZONG,LinearRegression,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:00,True,,,,False
ZONH,LGBMRegressor,model5,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:01,True,,,,False
ZONI,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:02,True,,,,False
ZONJ,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:03,True,,,,False
ZONK,LGBMRegressor,model6,2024-11-02,2024-11-03,2024-11-03 23:00:00,24,24,16/11/2024 18:24:04,True,,,,False
